city,theme,country,weather,temp_range,sunrise,sunset,hero_image,offline_map_note
Rome,theme-rome,Italy,Sunny,30~35C,5:50,20:42,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/RomaMontage1..jpg/330px-RomaMontage1..jpg,로마 오프라인 지도 다운로드
Florence,theme-florence,Italy,Sunny,32~36C,5:55,20:48,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Uffizi_Gallery%2C_Florence.jpg/120px-Uffizi_Gallery%2C_Florence.jpg,피렌체 오프라인 지도 다운로드
Verona,theme-florence,Italy,Sunny,28~33C,5:50,20:52,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Arena-XE3F2406a.jpg/250px-Arena-XE3F2406a.jpg,베로나 오프라인 지도 다운로드
Dolomites,theme-dolomites,Italy,Cool,10~22C,5:47,20:55,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Urtij%C3%ABi_cun_l_Sela_Y_Saslonch_da_Tlesura.jpg/330px-Urtij%C3%ABi_cun_l_Sela_Y_Saslonch_da_Tlesura.jpg,돌로미티 산악지역 지도 저장
Milan,theme-milan,Italy,Sunny,30~35C,6:04,20:54,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Milan.Proper.Wikipedia.Image.png/330px-Milan.Proper.Wikipedia.Image.png,밀라노 오프라인 지도 다운로드
Annecy,theme-annecy,France,Comfortable,20~28C,6:19,21:02,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Lac_d%27Annecy.jpg/330px-Lac_d%27Annecy.jpg,안시 오프라인 지도 다운로드
Chessy,theme-disney,France,Theme park,20~30C,6:26,21:17,https://i.namu.wiki/i/m9AbIUsbHGrbpslTltCTQpOZk-pPjjXV3O39wnCa5bk070DnRZ2ve37zXa8jIWFQKHAy9VhXh0MR7PGDZCmIWlJoWJ-Rgb4uxMZd8N6m3f_v4jcJ_8Qsph0OutozfBbwg7KU8fRawu3aBpPtUFxKrg.webp,디즈니 주변 지도 저장
Mont-Saint-Michel,theme-mont,France,Coastal,18~26C,6:38,21:28,https://upload.wikimedia.org/wikipedia/commons/7/78/Mont-Saint-Michel_vu_du_ciel.jpg,몽생미셸 주차장/셔틀 동선 저장
Paris,theme-paris,France,Warm,20~30C,6:33,21:14,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg/330px-La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg,파리 오프라인 지도 다운로드
